Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,OT,Rec,Unnamed: 8_level_1,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 8,1:00PM ET,boxscore,W,,1-0,@,Cincinnati Bengals,16.0,10.0,17.0,290.0,120.0,170.0,,13.0,224.0,154.0,70.0,2.0,0.36,3.62,2.22
2,Sun,September 15,1:00PM ET,boxscore,L,OT,1-1,,Seattle Seahawks,20.0,23.0,19.0,310.0,125.0,185.0,,18.0,358.0,312.0,46.0,,3.42,-7.65,1.23
3,Thu,September 19,8:15PM ET,boxscore,L,,1-2,@,New York Jets,3.0,24.0,11.0,139.0,61.0,78.0,1.0,27.0,400.0,267.0,133.0,,-8.75,-18.8,11.93
4,Sun,September 29,4:05PM ET,boxscore,L,,1-3,@,San Francisco 49ers,13.0,30.0,12.0,216.0,143.0,73.0,3.0,19.0,431.0,283.0,148.0,2.0,-24.17,-11.48,16.28
5,Sun,October 6,1:00PM ET,boxscore,L,,1-4,,Miami Dolphins,10.0,15.0,15.0,299.0,148.0,151.0,,24.0,372.0,179.0,193.0,2.0,-7.94,5.25,0.91
6,Sun,October 13,1:00PM ET,boxscore,L,,1-5,,Houston Texans,21.0,41.0,17.0,291.0,209.0,82.0,4.0,20.0,368.0,176.0,192.0,1.0,-10.73,-11.04,3.82
7,Sun,October 20,9:30AM ET,boxscore,L,,1-6,@,Jacksonville Jaguars,16.0,32.0,17.0,295.0,257.0,38.0,,23.0,364.0,193.0,171.0,,3.61,-17.6,0.01
8,Sun,October 27,1:00PM ET,boxscore,W,,2-6,,New York Jets,25.0,22.0,19.0,248.0,136.0,112.0,,22.0,336.0,224.0,112.0,,5.93,-14.41,7.05
9,Sun,November 3,1:00PM ET,boxscore,L,OT,2-7,@,Tennessee Titans,17.0,20.0,20.0,295.0,185.0,110.0,3.0,24.0,400.0,233.0,167.0,1.0,-5.06,-5.69,5.69
10,Sun,November 10,1:00PM ET,boxscore,W,,3-7,@,Chicago Bears,19.0,3.0,16.0,328.0,184.0,144.0,1.0,11.0,142.0,69.0,73.0,,0.04,20.08,-2.41
11,Sun,November 17,1:00PM ET,boxscore,L,,3-8,,Los Angeles Rams,22.0,28.0,26.0,382.0,257.0,125.0,2.0,19.0,402.0,295.0,107.0,,10.52,-19.37,2.87
12,Sun,November 24,1:00PM ET,boxscore,L,,3-9,@,Miami Dolphins,15.0,34.0,14.0,269.0,183.0,86.0,2.0,23.0,373.0,308.0,65.0,1.0,-16.92,-2.5,0.2
13,Sun,December 1,1:00PM ET,boxscore,L,,3-10,,Indianapolis Colts,24.0,25.0,23.0,422.0,222.0,200.0,1.0,20.0,253.0,109.0,144.0,2.0,12.16,-8.79,-2.11
14,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
15,Sun,December 15,4:25PM ET,boxscore,L,,3-11,@,Arizona Cardinals,17.0,30.0,17.0,311.0,195.0,116.0,1.0,21.0,395.0,232.0,163.0,,5.28,-18.68,-2.63
16,Sun,December 22,4:25PM ET,boxscore,L,,3-12,@,Buffalo Bills,21.0,24.0,28.0,379.0,253.0,126.0,3.0,19.0,324.0,152.0,172.0,1.0,7.45,-8.51,-1.61
17,Sat,December 28,1:00PM ET,boxscore,L,,3-13,,Los Angeles Chargers,7.0,40.0,11.0,181.0,85.0,96.0,1.0,29.0,428.0,281.0,147.0,,-14.04,-24.19,10.62
18,Sun,January 5,1:00PM ET,boxscore,W,,4-13,,Buffalo Bills,23.0,16.0,19.0,309.0,232.0,77.0,1.0,16.0,259.0,129.0,130.0,,-0.12,6.28,0.35
